symbol,rows,actions,buys,sells,no_trade,action_coverage,action_direction_accuracy,accuracy_gap_vs_overall,incorrect_actions,buy_direction_accuracy,sell_direction_accuracy,buy_win_rate_after_cost,buy_mean_return_after_cost,no_trade_missed_move_rate,diagnostic_flag
FPT,125,23,17,6,102,0.184,0.4782608695652174,0.07260049220672682,12,0.5294117647058824,0.3333333333333333,0.5294117647058824,0.007145515693509529,0.8137254901960784,False
HPG,125,38,18,20,87,0.304,0.34210526315789475,-0.06355511420059584,25,0.3888888888888889,0.3,0.3888888888888889,-0.0018678687891099997,0.8160919540229885,True
PNJ,125,20,17,3,105,0.16,0.5,0.09433962264150941,10,0.5882352941176471,0.0,0.6470588235294118,0.008211648908491765,0.638095238095238,False
SHS,125,108,26,82,17,0.864,0.3888888888888889,-0.016771488469601692,66,0.2692307692307692,0.4268292682926829,0.34615384615384615,-0.006776168807187307,0.6470588235294118,False
VCB,125,23,13,10,102,0.184,0.43478260869565216,0.029122231337161575,13,0.5384615384615384,0.3,0.5384615384615384,0.006443426894409229,0.6274509803921569,False
