signal_side,rows,actions,buys,sells,no_trade,action_coverage,action_direction_accuracy,accuracy_gap_vs_overall,incorrect_actions,buy_direction_accuracy,sell_direction_accuracy,buy_win_rate_after_cost,buy_mean_return_after_cost,no_trade_missed_move_rate,diagnostic_flag
BUY,91,91,91,0,0,1.0,0.43956043956043955,0.033900062201948966,51,0.43956043956043955,0.0,0.4725274725274725,0.00148389363374167,0.0,False
SELL,121,121,0,121,0,1.0,0.38016528925619836,-0.02549508810229223,75,0.0,0.38016528925619836,0.0,0.0,0.0,False
