fold,rows,actions,buys,sells,no_trade,action_coverage,action_direction_accuracy,accuracy_gap_vs_overall,incorrect_actions,buy_direction_accuracy,sell_direction_accuracy,buy_win_rate_after_cost,buy_mean_return_after_cost,no_trade_missed_move_rate,diagnostic_flag
1,250,126,101,25,124,0.504,0.3253968253968254,-0.01621808143547271,85,0.297029702970297,0.44,0.33663366336633666,-0.004708474825789891,0.49193548387096775,False
2,245,108,30,78,137,0.44081632653061226,0.39814814814814814,0.056533241315850025,65,0.4,0.3974358974358974,0.43333333333333335,-0.0011760906784590006,0.49635036496350365,False
3,245,227,132,95,18,0.926530612244898,0.3920704845814978,0.050455577749199676,138,0.3560606060606061,0.4421052631578947,0.3939393939393939,-0.0038483007024276606,0.5555555555555556,False
4,245,183,12,171,62,0.746938775510204,0.2568306010928962,-0.08478430573940193,136,0.4166666666666667,0.24561403508771928,0.4166666666666667,-0.005096376012173332,0.5,True
