symbol,rows,actions,buys,sells,no_trade,action_coverage,action_direction_accuracy,accuracy_gap_vs_overall,incorrect_actions,buy_direction_accuracy,sell_direction_accuracy,buy_win_rate_after_cost,buy_mean_return_after_cost,no_trade_missed_move_rate,diagnostic_flag
FPT,197,149,59,90,48,0.7563451776649747,0.3825503355704698,0.040935428738171686,92,0.3559322033898305,0.4,0.4576271186440678,-0.002164876200700491,0.5625,False
HPG,197,128,53,75,69,0.649746192893401,0.3125,-0.029114906832298115,88,0.3584905660377358,0.28,0.39622641509433965,-0.0028304976175141526,0.5942028985507246,False
PNJ,197,108,46,62,89,0.5482233502538071,0.4074074074074074,0.06579250057510927,64,0.43478260869565216,0.3870967741935484,0.45652173913043476,-0.005555797369300436,0.5056179775280899,False
SHS,197,194,89,105,3,0.9847715736040609,0.34536082474226804,0.0037459179099699202,127,0.3258426966292135,0.3619047619047619,0.3258426966292135,-0.004332467717681124,0.6666666666666666,False
VCB,197,65,28,37,132,0.3299492385786802,0.18461538461538463,-0.1569995222169135,53,0.17857142857142858,0.1891891891891892,0.21428571428571427,-0.005752518114073608,0.4166666666666667,True
