signal,rows,actions,buys,sells,no_trade,action_coverage,action_direction_accuracy,accuracy_gap_vs_overall,incorrect_actions,buy_direction_accuracy,sell_direction_accuracy,buy_win_rate_after_cost,buy_mean_return_after_cost,no_trade_missed_move_rate,diagnostic_flag
BUY,275,275,275,0,0,1.0,0.3418181818181818,0.00020327498588368353,181,0.3418181818181818,0.0,0.3781818181818182,-0.003927166845909382,0.0,False
SELL,369,369,0,369,0,1.0,0.34146341463414637,-0.00015149219815174808,243,0.0,0.34146341463414637,0.0,0.0,0.0,False
