date,open,high,low,close,volume,return_pct,near_limit
2023-08-16,13950.0,14120.0,13780.0,14120.0,14712840,0.5698005698005604,False
2023-08-17,14120.0,14710.0,14040.0,14120.0,25806175,0.0,False
2023-08-18,14120.0,14120.0,12770.0,12770.0,45197426,-9.560906515580736,True
2023-08-21,12770.0,13530.0,12600.0,13190.0,25522746,3.2889584964761243,False
2023-08-22,13270.0,13870.0,12680.0,13870.0,33407902,5.155420773313124,False
2023-09-08,16059.999999999998,16149.999999999998,15900.0,15900.0,11893255,-0.5006257822277815,False
2023-09-11,16059.999999999998,16490.0,15810.0,15900.0,22373183,0.0,False
2023-09-12,15730.0,17330.0,15730.0,17330.0,27208077,8.993710691823908,True
2023-09-13,17330.0,17500.0,16740.0,17160.0,18944376,-0.9809578765147098,False
2023-09-14,17250.0,17250.0,16400.0,16570.0,26748401,-3.438228438228441,False
2023-09-20,16660.0,17160.0,16570.0,17080.0,13758129,3.077851538925769,False
2023-09-21,17080.0,17250.0,16149.999999999998,16230.0,31980179,-4.976580796252927,False
2023-09-22,16059.999999999998,16230.0,14710.0,15050.0,53071128,-7.270486752926675,True
2023-09-25,14800.0,15220.0,13610.0,13610.0,38692472,-9.568106312292358,True
2023-09-26,13110.0,14800.0,13110.0,13870.0,33079168,1.9103600293901568,False
2023-09-27,13950.0,14970.0,13780.0,14970.0,31573673,7.930785868781554,True
2023-09-28,15130.0,15130.0,14200.0,14710.0,24779275,-1.736806947227787,False
2023-09-29,14800.0,15130.0,14460.0,14540.0,21508904,-1.1556764106050332,False
2023-10-02,14540.0,14970.0,14540.0,14710.0,16069763,1.1691884456671353,False
2023-10-03,14710.0,14710.0,13440.0,13440.0,40338674,-8.63358259687288,True
2023-10-04,13270.0,14630.0,12770.0,14290.0,33973051,6.324404761904767,False
2023-10-05,14370.0,14630.0,13950.0,14040.0,18812622,-1.7494751574527623,False
2023-10-13,15220.0,15560.0,14880.0,15390.0,22187238,0.588235294117645,False
2023-10-16,15390.0,15470.0,14880.0,14970.0,20752115,-2.729044834307992,False
2023-10-17,14970.0,15220.0,13700.0,13700.0,27620360,-8.483633934535739,True
2023-10-18,13780.0,14370.0,12940.0,13950.0,38260703,1.8248175182481674,False
2023-10-19,13950.0,14120.0,13360.0,13360.0,19739679,-4.229390681003586,False
2023-10-24,12430.0,14120.0,12430.0,13950.0,19326762,1.2336719883889735,False
2023-10-25,13950.0,14370.0,13610.0,13700.0,24660999,-1.7921146953404965,False
2023-10-26,13530.0,13700.0,12340.0,12430.0,63141573,-9.27007299270073,True
2023-10-27,11920.0,12940.0,11920.0,12770.0,25604285,2.7353177795655714,False
2023-10-30,12770.0,12770.0,11670.0,11670.0,19534894,-8.613938919342212,True
2023-10-31,11840.0,11920.0,10820.0,10910.0,34571425,-6.512425021422452,True
2023-11-01,10740.0,11920.0,10320.0,11920.0,47367812,9.257561869844189,True
2023-11-02,12090.0,13110.0,11840.0,13020.0,37509188,9.228187919463092,True
2023-11-03,13110.0,13270.0,12600.0,12940.0,28951640,-0.6144393241167445,False
2023-11-06,12940.0,13530.0,12010.0,13530.0,33884165,4.559505409582698,False
2023-11-07,12180.0,13950.0,12180.0,13440.0,32997067,-0.6651884700665134,False
2023-11-08,12340.0,14710.0,12340.0,14710.0,43403550,9.449404761904766,True
2023-11-09,14880.0,15300.0,14630.0,14630.0,36449787,-0.5438477226376581,False
2023-11-10,14630.0,15130.0,14370.0,14710.0,35874188,0.5468215994531844,False
2023-11-21,15220.0,15560.0,15130.0,15220.0,20971349,0.0,False
2023-11-22,15220.0,15560.0,15130.0,15560.0,29182745,2.233902759526929,False
2023-11-23,15560.0,15730.0,14370.0,14370.0,28552032,-7.647814910025708,True
2023-11-24,14370.0,15050.0,14120.0,15050.0,38198427,4.732080723729992,False
2023-11-27,15050.0,15220.0,14630.0,14710.0,12652657,-2.2591362126245795,False
2024-04-11,16660.0,17160.0,16400.0,16990.0,19549798,1.4934289127837452,False
2024-04-12,16990.0,17670.0,16740.0,17590.0,29052672,3.5314891112419033,False
2024-04-15,17590.0,18090.0,16059.999999999998,16059.999999999998,50495135,-8.698123934053449,True
2024-04-16,16059.999999999998,16400.0,15730.0,16320.0,38201121,1.6189290161892966,False
2024-04-17,16149.999999999998,16570.0,15730.0,15730.0,20102153,-3.615196078431371,False
2024-07-30,13870.0,14200.0,13110.0,13870.0,7427057,-1.770538243626063,False
2024-07-31,13870.0,14120.0,13700.0,13700.0,6022964,-1.2256669069935167,False
2024-08-01,13700.0,13870.0,12600.0,12770.0,27172434,-6.788321167883216,True
2024-08-02,12430.0,13360.0,11840.0,13020.0,11175734,1.9577133907595856,False
2024-08-05,13020.0,13020.0,11920.0,11920.0,14251853,-8.448540706605224,True
2024-08-06,11920.0,12510.0,11670.0,12340.0,11128710,3.523489932885915,False
2024-08-07,12340.0,12510.0,12180.0,12340.0,6606592,0.0,False
2024-08-14,12180.0,13440.0,12180.0,13110.0,10001878,0.691244239631339,False
