date,open,high,low,close,volume,return_pct,near_limit
2024-08-15,61870.0,61930.0,60460.0,61670.0,850054,-0.516212292305207,False
2024-08-16,61610.0,62570.0,61160.0,62440.0,1728678,1.2485811577752637,False
2024-08-19,63010.0,66770.0,62820.0,66770.0,4962150,6.934657270980149,True
2024-08-20,67850.0,68990.0,67590.0,68740.0,3274298,2.9504268384004773,False
2024-08-21,68740.0,68990.0,68100.0,68990.0,1483562,0.363689263892919,False
2025-04-01,54110.0,54370.0,53660.0,54180.0,414025,0.1293661060802087,False
2025-04-02,54240.0,54760.0,53590.0,53590.0,729746,-1.0889627168696903,False
2025-04-03,51970.0,52680.0,49890.0,49890.0,2640573,-6.904273185295762,True
2025-04-04,46450.0,47420.0,46450.0,47100.0,4124493,-5.59230306674684,False
2025-04-08,45150.0,46250.0,43850.0,43850.0,1428908,-6.900212314225051,True
2025-04-09,40800.0,43260.0,40800.0,40800.0,3797310,-6.955530216647665,True
2025-04-10,43590.0,43590.0,43590.0,43590.0,60105,6.838235294117645,True
2025-04-11,46580.0,46580.0,46320.0,46580.0,3661566,6.859371415462268,True
2025-04-14,48010.0,49240.0,47420.0,47880.0,1879069,2.7908973808501436,False
2025-04-15,47620.0,47680.0,45470.0,46450.0,1942800,-2.9866332497911485,False
2025-07-30,54700.0,55540.0,54440.0,55540.0,722347,1.4243973703433221,False
2025-07-31,54960.0,55410.0,54440.0,54830.0,542797,-1.2783579402232625,False
2025-08-01,54760.0,58660.0,54310.0,58660.0,1140352,6.985227065475108,True
2025-08-04,55870.0,56450.0,54570.0,56190.0,777310,-4.210705762018407,False
2025-08-05,56130.0,56260.0,55540.0,55540.0,1008389,-1.156789464317498,False
2025-10-14,56460.0,56520.0,55930.0,55930.0,619143,-0.2318943988583677,False
2025-10-15,55800.0,57310.0,55800.0,56850.0,1005256,1.6449132844627234,False
2025-10-16,56920.0,60810.0,56920.0,60810.0,2990641,6.965699208443277,True
2025-10-17,60750.0,60810.0,58830.0,59490.0,1444495,-2.1706956092747864,False
2025-10-20,59490.0,59490.0,55400.0,55400.0,2298748,-6.875105059673892,True
2025-10-21,55470.0,57780.0,55330.0,57380.0,1029833,3.574007220216613,False
