symbol,date,ret_1,ret_2,ret_5,ret_10,ret_20,range_1,intraday_return,overnight_gap,volatility_5,volatility_10,volatility_20,distance_ma20,distance_ma50,distance_ma200,relative_volume_5,relative_volume_20,drawdown_20,drawdown_60,rsi_14,atr_14,vnindex_ret_1,vnindex_ret_5,vnindex_ret_20,vnindex_ret_60,vnindex_volatility_5,vnindex_volatility_20,vnindex_distance_ma20,vnindex_distance_ma200,relative_strength_5,relative_strength_20,rolling_beta_60,rolling_correlation_60,market_regime,future_return,target,split
FPT,2024-03-11,-0.0117677872764,0.00821905113619,-0.00727732195361,0.0571361913708,0.0755717535265,0.027942444103,-0.0117677872764,0,0.0142012885082,0.0160249297911,0.0132250383159,0.0270902988405,0.0933920074022,0.226623333493,-0.100725646369,0.0608157600452,-0.0125590649092,-0.0125590649092,64.0248640249,0.0232968140033,-0.0167822653198,-0.00872440809558,0.0618404365808,0.106363142624,0.00963996469377,0.00798635195395,0.0121813121963,0.08036851276,0.00144708614197,0.0137313169457,0.858542853076,0.475849827965,BULL,0,NO_TRADE,train
HPG,2024-03-11,-0.023155882663,-0.0164572930221,-0.0178964873218,0.0645059854703,0.0823636028704,0.0260506771999,-0.023155882663,0,0.0139781887904,0.0201358849551,0.0160141384448,0.0247049409882,0.0633439546639,0.135762094148,0.423891867395,0.547907650518,-0.0275272899858,-0.0275272899858,60.4519774011,0.021578470334,-0.0167822653198,-0.00872440809558,0.0618404365808,0.106363142624,0.00963996469377,0.00798635195395,0.0121813121963,0.08036851276,-0.00917207922624,0.0205231662896,1.21932765546,0.637949751607,BULL,-0.0132647486585,DOWN,train
PNJ,2024-03-11,0,0.0156807702557,0.00838751730763,0.0945734712211,0.0488311083421,0.0309269440039,-0.00408597446786,0.00408597446786,0.0136168036901,0.0195084437713,0.0169837102095,0.0531944252794,0.0841041847913,0.204724191951,0.643754886545,1.35836898441,-0.00310204081633,-0.00310204081633,73.795761079,0.0230101539469,-0.0167822653198,-0.00872440809558,0.0618404365808,0.106363142624,0.00963996469377,0.00798635195395,0.0121813121963,0.08036851276,0.0171119254032,-0.0130093282387,0.230326124117,0.108145627268,BULL,0.0255470643758,UP,train
SHS,2024-03-11,-0.0108109161042,0.0384537439223,0.0272213826836,0.0667575200851,0.0109290705322,0.0372165309184,-0.0108109161042,0,0.0271874913486,0.0212829255442,0.0188627151783,0.0331615801295,0.0121143093808,0.111711353103,0.207632480761,0.687106191406,-0.010752688172,-0.0212765957447,57.9439252336,0.0535714285714,-0.0167822653198,-0.00872440809558,0.0618404365808,0.106363142624,0.00963996469377,0.00798635195395,0.0121813121963,0.08036851276,0.0359457907792,-0.0509113660486,0.699029007107,0.32609411749,BULL,-0.0272213826836,DOWN,train
VCB,2024-03-11,-0.0073178818454,-0.00525520757183,-0.0228879062228,0.0673633064936,0.0517724128188,0.0145826010981,-0.00842679285012,0.00110891100472,0.00640752351975,0.0226811835671,0.0172111104956,0.0277237633429,0.0596862394759,0.0879780424039,0.152619975488,0.318964269437,-0.0235422513252,-0.0235422513252,66.4627930683,0.024680093976,-0.0167822653198,-0.00872440809558,0.0618404365808,0.106363142624,0.00963996469377,0.00798635195395,0.0121813121963,0.08036851276,-0.0141634981272,-0.010068023762,1.12355397919,0.511575549481,BULL,-0.0105939995633,DOWN,train
FPT,2024-03-12,0,-0.0117677872764,-0.012638596562,0.0184284302678,0.0608765109865,0.0313629672116,0,0,0.0137532557427,0.011082460296,0.0129927874616,0.0239845261122,0.090054029123,0.22383024499,-0.040151714988,0.138319867435,-0.0125590649092,-0.0125590649092,66.6666666667,0.0247989637865,-0.00955364840845,-0.0207624903907,0.0408307630095,0.0941825185785,0.00982118018929,0.00820699521245,0.000550692009297,0.0692918404929,0.0081238938287,0.020045747977,0.830308418355,0.471613129817,BULL,0.0171051052281,UP,train
HPG,2024-03-12,-0.0132647486585,-0.0364206313215,-0.0297220416806,0.0372839153779,0.0653961258344,0.0264462033648,-0.0132647486585,0,0.0145156658781,0.0208361989582,0.016479970015,0.00797607178465,0.047234307023,0.118994122791,-0.0944275307535,-0.0272517623625,-0.0403417180826,-0.0403417180826,56.1679790026,0.0230676840469,-0.00955364840845,-0.0207624903907,0.0408307630095,0.0941825185785,0.00982118018929,0.00820699521245,0.000550692009297,0.0692918404929,-0.00895955128984,0.0245653628249,1.22328751446,0.64824593428,BULL,0.00984259914419,UP,train
PNJ,2024-03-12,0.0255470643758,0.0255470643758,0.0349259895637,0.112052360947,0.0842287664985,0.0435408082833,0.0224402022577,0.0031068621181,0.0170546483363,0.0201428577029,0.0174726850576,0.0757526318501,0.108370461856,0.233676776291,0.270077358048,1.00325654885,0,0,77.2575250836,0.0244480934136,-0.00955364840845,-0.0207624903907,0.0408307630095,0.0941825185785,0.00982118018929,0.00820699521245,0.000550692009297,0.0692918404929,0.0556884799544,0.043398003489,0.127828574122,0.0602540037434,BULL,0,NO_TRADE,train
SHS,2024-03-12,-0.0272213826836,-0.0380322987878,-0.00524247596485,0.0112323612387,-0.00524247596485,0.0441917258753,-0.0272213826836,0,0.0308741918456,0.0222351230227,0.0197133955271,0.00568256904982,-0.0145295382145,0.0796202176974,-0.236961771314,0.0919767921825,-0.0373181530677,-0.0475594493116,50,0.0515299418059,-0.00955364840845,-0.0207624903907,0.0408307630095,0.0941825185785,0.00982118018929,0.00820699521245,0.000550692009297,0.0692918404929,0.0155200144259,-0.0460732389744,0.786993491588,0.371738997276,BULL,-0.016562154002,DOWN,train
VCB,2024-03-12,-0.0105939995633,-0.0179118814087,-0.0199703098135,0.0501304196645,0.0445471211743,0.0199703098135,-0.0105939995633,0,0.00545214698738,0.023334662827,0.0174173320141,0.0146458072386,0.0454448834439,0.0755468853051,-0.0673503053757,0.0926483250738,-0.0338322419707,-0.0338322419707,59.4455852156,0.0248737868554,-0.00955364840845,-0.0207624903907,0.0408307630095,0.0941825185785,0.00982118018929,0.00820699521245,0.000550692009297,0.0692918404929,0.000792180577257,0.00371635816473,1.12433362035,0.521526834496,BULL,0.00322217130723,NO_TRADE,train
FPT,2024-03-13,0.0171051052281,0.0171051052281,0.0108284087489,0.0364318352034,0.0722432939363,0.0313629672116,0.0171051052281,0,0.0159469038037,0.0120111007035,0.0133602652832,0.0378831193026,0.105376085124,0.242096587694,-0.152239425213,-0.038335180151,0,0,67.2235481305,0.0244491210696,0.00766787739201,-0.0198656223983,0.0464603501745,0.100908148552,0.0100754616202,0.00830285844265,0.00595005316587,0.076682168872,0.0306940311472,0.0257829437618,0.853093131043,0.482737297841,BULL,0.0445486393705,UP,train
