fold,candidate,accuracy,balanced_accuracy,macro_f1,log_loss,rows
1,full,0.444,0.41174603174603175,0.39605813290023817,1.0886088001244456,250
1,compact,0.416,0.39174603174603173,0.37369851119793657,1.0974123647772867,250
2,full,0.40816326530612246,0.37923750967229225,0.3642714916600267,1.0832217164586038,245
2,compact,0.45714285714285713,0.4244933810151202,0.40905666837870225,1.0734885057210402,245
3,full,0.3469387755102041,0.3317141683307377,0.3142823367442605,1.1771648246635888,245
3,compact,0.39591836734693875,0.3741105580131789,0.35582679555431024,1.1426551062554289,245
4,full,0.3224489795918367,0.36242030965391625,0.30014313172207907,1.2563023786030676,245
4,compact,0.3183673469387755,0.36429355025666504,0.28933163048105576,1.2575815618723767,245
