experiment,features,accuracy,balanced_accuracy,macro_f1,log_loss,rows,delta_balanced_accuracy,delta_macro_f1
full,33,0.3648,0.3609734589409386,0.3596622084807908,1.1259683066822257,625,0.0,0.0
without_stock_returns,26,0.3872,0.3785010661898003,0.3796221852919277,1.1244919658372725,625,0.01752760724886171,0.019959976811136926
without_stock_risk,26,0.3744,0.3708526138549368,0.37016913164507786,1.1246073868662996,625,0.009879154913998212,0.010506923164287085
without_stock_trend,29,0.3776,0.36960053217312216,0.3707676914244041,1.1207748332294674,625,0.00862707323218359,0.011105482943613298
without_volume,31,0.3648,0.3578615366652533,0.3583622446031796,1.1224902053372836,625,-0.003111922275685297,-0.0012999638776111655
without_market,20,0.3488,0.3460372766992976,0.345886548763189,1.1199747264335662,625,-0.01493618224164095,-0.013775659717601807
