experiment,features,accuracy,balanced_accuracy,macro_f1,log_loss,rows,delta_balanced_accuracy,delta_macro_f1
full,33,0.3952,0.35704852853517194,0.31698756704932946,1.223414931565785,625,0.0,0.0
without_stock_returns,26,0.3968,0.35920502799132303,0.3181362957251223,1.2192788533593764,625,0.0021564994561510953,0.0011487286757928539
without_stock_risk,26,0.3808,0.341861161808897,0.3057724734966258,1.1721491152472086,625,-0.015187366726274965,-0.01121509355270367
without_stock_trend,29,0.392,0.35285290267868663,0.3173211330349625,1.1901030096189784,625,-0.004195625856485308,0.0003335659856330553
without_volume,31,0.4,0.3594208776554886,0.31313551061450223,1.2264583344105116,625,0.0023723491203166414,-0.0038520564348272224
without_market,20,0.352,0.36157799163025645,0.35136888169860736,1.150036770511525,625,0.004529463095084507,0.034381314649277905
