date,pred,actual,train_end,signal,position,gross_return,net_return,correct_direction
2026-07-15,0.009627325911619584,-0.0718143931666225,2026-07-14,BUY,1,-0.0718143931666225,-0.0753143931666225,0
2026-07-20,0.008849893034871086,-0.04762804898925459,2026-07-17,BUY,1,-0.04762804898925459,-0.05112804898925459,0
2025-08-04,0.013283160795556347,-0.043019258425198104,2025-08-01,BUY,1,-0.043019258425198104,-0.04651925842519811,0
2025-10-17,0.011089851593977875,-0.02194601793220402,2025-10-16,BUY,1,-0.02194601793220402,-0.02544601793220402,0
2026-01-20,0.009443949456279375,-0.020433243744636082,2026-01-19,BUY,1,-0.020433243744636082,-0.023933243744636082,0
2026-03-12,0.00619047362151873,-0.009370715651023232,2026-03-11,BUY,1,-0.009370715651023232,-0.012870715651023231,0
2026-01-27,0.005937829717137434,-0.006829483409743703,2026-01-26,BUY,1,-0.006829483409743703,-0.010329483409743703,0
2026-06-17,0.005414031026579925,-0.0029368596733097135,2026-06-16,BUY,1,-0.0029368596733097135,-0.006436859673309713,0
2026-02-04,0.009252470849548604,-0.002503130218118477,2026-02-03,BUY,1,-0.002503130218118477,-0.006003130218118477,0
2026-01-30,0.010433154427543233,0.003905099335772016,2026-01-29,BUY,1,0.003905099335772016,0.000405099335772016,1
2026-01-08,0.005320466295289806,0.01348796287277482,2026-01-07,BUY,1,0.01348796287277482,0.00998796287277482,1
2026-04-09,0.006101354006035823,0.027648982712434593,2026-04-08,BUY,1,0.027648982712434593,0.024148982712434593,1
2025-10-24,0.006937304531760617,0.02878594618137137,2025-10-23,BUY,1,0.02878594618137137,0.02528594618137137,1
2026-03-11,0.007396508448953711,0.047360634379753914,2026-03-10,BUY,1,0.047360634379753914,0.04386063437975391,1
2026-01-19,0.0082500482067115,0.0586892749001729,2026-01-16,BUY,1,0.0586892749001729,0.0551892749001729,1
